equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Stade Français Paris,4,49 %,52 %,55 %,48 %,52 %,5,2,2,1,14,12,3,7,3,7,106,16,23,31,98, 37,LOU Rugby,2025-09-20 18:30:00
Union Bordeaux-Bègles,11,46 %,45 %,42 %,55 %,46 %,5,1,4,1,16,11,1,3,0,13,109,6,13,22,155,71 ,US Montauban,2025-09-20 18:30:00
US Montauban,3,54 %,55 %,58 %,45 %,54 %,2,0,2,0,14,11,4,4,1,7,88,1,33,22,120, 24,Union Bordeaux-Bègles,2025-09-20 18:30:00
USA Perpignan,2,60 %,65 %,55 %,34 %,62 %,5,3,2,0,21,16,0,5,1,14,69,3,6,14,161,15 ,Racing 92,2025-09-20 18:30:00
Racing 92,3,40 %,35 %,45 %,66 %,38 %,7,0,7,0,13,7,1,6,3,13,151,8,23,24,61, 28,USA Perpignan,2025-09-20 18:30:00
Montpellier Hérault Rugby,5,45 %,52 %,51 %,47 %,52 %,8,3,3,2,15,14,2,9,3,14,133,9,16,26,66,44 ,Stade Toulousain,2025-09-20 21:00:00
Stade Toulousain,2,55 %,48 %,49 %,53 %,48 %,8,5,2,1,15,11,0,5,0,14,79,3,18,24,151, 14,Montpellier Hérault Rugby,2025-09-20 21:00:00
RC Toulon,6,51 %,46 %,39 %,54 %,46 %,7,1,5,1,12,10,3,3,1,10,138,4,12,35,129,39 ,Stade Rochelais,2025-11-08 16:30:00
Stade Rochelais,2,49 %,54 %,61 %,46 %,54 %,4,1,3,0,19,14,0,5,0,10,118,5,24,22,115, 14,RC Toulon,2025-11-08 16:30:00
Stade Français Paris,3,48 %,45 %,46 %,56 %,46 %,10,1,8,1,15,13,1,6,3,12,126,16,18,24,103,28 ,Union Bordeaux-Bègles,2025-09-27 14:30:00
Union Bordeaux-Bègles,1,52 %,55 %,54 %,44 %,54 %,11,2,7,2,14,12,1,6,0,17,96,6,17,20,124, 7,Stade Français Paris,2025-09-27 14:30:00
Racing 92,6,46 %,51 %,59 %,49 %,52 %,6,2,3,1,18,16,2,4,1,15,91,3,31,32,110,43 ,ASM Clermont,2025-09-27 16:35:00
ASM Clermont,4,54 %,49 %,41 %,51 %,48 %,3,0,3,0,18,14,1,3,1,9,69,2,23,27,136, 31,Racing 92,2025-09-27 16:35:00
Section Paloise,4,55 %,61 %,72 %,38 %,59 %,5,2,2,1,15,13,2,4,4,13,148,3,15,23,148,40 ,LOU Rugby,2025-09-27 16:35:00
LOU Rugby,0,45 %,39 %,28 %,62 %,41 %,5,0,3,2,10,6,1,0,5,10,154,4,27,31,126, 15,Section Paloise,2025-09-27 16:35:00
Stade Rochelais,4,64 %,68 %,64 %,32 %,69 %,5,0,5,0,18,16,2,7,1,9,77,9,15,25,233,31 ,USA Perpignan,2025-09-27 16:35:00
USA Perpignan,1,36 %,32 %,36 %,68 %,31 %,8,2,6,0,16,12,1,6,1,15,148,19,28,18,92, 8,Stade Rochelais,2025-09-27 16:35:00
US Montauban,1,40 %,49 %,47 %,51 %,50 %,11,3,6,2,12,11,1,3,5,10,119,6,10,31,91,22 ,Montpellier Hérault Rugby,2025-09-27 16:35:00
Montpellier Hérault Rugby,3,60 %,51 %,53 %,49 %,50 %,7,2,4,1,15,12,1,6,1,12,83,5,6,37,150, 22,US Montauban,2025-09-27 16:35:00
Stade Toulousain,9,65 %,58 %,86 %,42 %,58 %,7,1,4,2,19,16,0,3,0,10,81,7,6,19,158,59 ,Castres Olympique,2025-09-27 21:00:00
Castres Olympique,0,35 %,42 %,14 %,58 %,42 %,9,5,3,1,9,7,2,3,4,22,150,8,42,17,67, 12,Stade Toulousain,2025-09-27 21:00:00
Aviron Bayonnais,2,54 %,54 %,39 %,46 %,53 %,3,0,3,0,20,16,1,5,6,8,118,19,16,28,131,35 ,RC Toulon,2025-09-28 21:05:00
