equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
ASM Clermont,2,55 %,53 %,80 %,47 %,53 %,9,4,3,2,13,9,2,8,2,13,90,9,8,24,114,18 ,Montpellier Hérault Rugby,2024-12-28 18:00:00
Montpellier Hérault Rugby,1,45 %,47 %,20 %,53 %,47 %,5,1,4,0,13,8,3,3,5,8,111,11,29,32,58, 22,ASM Clermont,2024-12-28 18:00:00
Union Bordeaux-Bègles,2,46 %,46 %,52 %,55 %,47 %,8,0,7,1,20,15,0,8,3,7,162,13,23,32,115,21 ,RC Toulon,2024-12-28 21:05:00
RC Toulon,2,54 %,54 %,48 %,45 %,53 %,8,0,8,0,10,8,2,4,1,14,107,4,18,31,137, 17,Union Bordeaux-Bègles,2024-12-28 21:05:00
Racing 92,3,57 %,65 %,65 %,34 %,62 %,2,0,2,0,13,10,2,4,2,17,113,9,13,34,177,25 ,LOU Rugby,2024-12-29 16:00:00
LOU Rugby,1,43 %,35 %,35 %,66 %,38 %,4,1,3,0,15,10,3,3,6,10,179,5,35,30,115, 25,Racing 92,2024-12-29 16:00:00
USA Perpignan,2,57 %,64 %,83 %,36 %,67 %,8,0,7,1,16,12,0,5,3,8,91,5,15,22,178,21 ,Stade Rochelais,2024-12-29 18:00:00
Stade Rochelais,1,43 %,36 %,17 %,64 %,33 %,5,0,4,1,9,8,4,5,2,15,160,11,34,29,116, 13,USA Perpignan,2024-12-29 18:00:00
Stade Toulousain,5,59 %,55 %,72 %,46 %,52 %,7,0,5,2,18,16,2,9,1,11,62,2,22,25,152,38 ,Stade Français Paris,2024-12-29 21:05:00
Stade Français Paris,2,41 %,45 %,28 %,54 %,48 %,11,2,7,2,16,11,1,7,3,14,128,5,30,18,61, 23,Stade Toulousain,2024-12-29 21:05:00
RC Toulon,6,56 %,54 %,49 %,46 %,54 %,2,0,2,0,18,15,3,6,0,6,142,9,19,33,210,36 ,Racing 92,2025-01-04 14:30:00
Racing 92,3,44 %,46 %,51 %,54 %,46 %,5,0,5,0,17,11,3,5,1,7,176,3,26,25,138, 24,RC Toulon,2025-01-04 14:30:00
Castres Olympique,2,46 %,48 %,38 %,53 %,49 %,4,1,3,0,16,12,2,4,3,10,139,6,18,39,104,24 ,Section Paloise,2025-01-04 16:30:00
Section Paloise,1,54 %,52 %,62 %,47 %,51 %,6,0,5,1,15,12,0,5,4,9,106,12,8,39,110, 19,Castres Olympique,2025-01-04 16:30:00
LOU Rugby,2,48 %,63 %,75 %,34 %,61 %,8,1,7,0,16,12,0,10,1,16,110,6,8,20,109,17 ,USA Perpignan,2025-01-04 16:30:00
USA Perpignan,0,52 %,37 %,25 %,66 %,39 %,14,2,9,3,19,17,2,8,4,12,136,9,12,21,137, 12,LOU Rugby,2025-01-04 16:30:00
Montpellier Hérault Rugby,6,52 %,52 %,63 %,48 %,51 %,12,2,8,2,14,12,1,3,2,8,116,0,30,33,97,42 ,Aviron Bayonnais,2025-01-04 16:30:00
Aviron Bayonnais,1,48 %,48 %,37 %,52 %,49 %,5,1,4,0,12,10,1,7,1,19,91,5,20,18,143, 10,Montpellier Hérault Rugby,2025-01-04 16:30:00
Stade Français Paris,1,45 %,48 %,32 %,51 %,49 %,4,1,3,0,14,11,3,10,3,10,156,13,33,19,146,19 ,Union Bordeaux-Bègles,2025-01-04 16:30:00
Union Bordeaux-Bègles,6,55 %,52 %,68 %,49 %,51 %,9,0,8,1,11,7,2,5,2,9,125,9,22,28,170, 46,Stade Français Paris,2025-01-04 16:30:00
Stade Rochelais,3,53 %,61 %,66 %,39 %,62 %,10,0,8,2,19,13,0,6,1,11,108,20,16,29,179,22 ,Stade Toulousain,2025-01-04 21:05:00
Stade Toulousain,1,47 %,39 %,34 %,61 %,38 %,5,0,5,0,14,14,3,4,3,14,147,15,22,40,95, 19,Stade Rochelais,2025-01-04 21:05:00
RC Vannes,1,49 %,53 %,46 %,47 %,52 %,7,0,5,2,20,16,0,6,4,9,104,6,20,26,110,19 ,ASM Clermont,2025-01-05 21:05:00
ASM Clermont,2,51 %,47 %,54 %,53 %,48 %,9,1,6,2,12,12,2,4,2,16,112,17,15,27,78, 20,RC Vannes,2025-01-05 21:05:00
Stade Toulousain,3,57 %,38 %,28 %,60 %,37 %,14,1,11,2,12,11,0,5,2,9,82,3,10,36,153,27 ,Montpellier Hérault Rugby,2025-01-25 14:00:00
Montpellier Hérault Rugby,2,43 %,62 %,72 %,40 %,63 %,6,0,5,1,14,13,1,12,1,8,145,18,30,28,80, 17,Stade Toulousain,2025-01-25 14:00:00
Racing 92,2,60 %,52 %,69 %,47 %,52 %,8,1,7,0,18,14,1,6,2,9,77,11,18,23,202,20 ,Castres Olympique,2025-01-25 16:00:00
Castres Olympique,4,40 %,48 %,31 %,53 %,48 %,7,0,7,0,10,8,1,8,1,11,159,7,46,30,118, 27,Racing 92,2025-01-25 16:00:00
RC Vannes,3,54 %,65 %,59 %,34 %,64 %,6,1,5,0,17,17,0,7,3,12,89,1,12,29,78,33 ,Stade Français Paris,2025-01-25 16:00:00
Stade Français Paris,3,46 %,35 %,41 %,66 %,36 %,6,2,4,0,13,12,0,6,3,13,133,2,7,31,43, 28,RC Vannes,2025-01-25 16:00:00
Section Paloise,2,42 %,32 %,32 %,68 %,32 %,5,1,4,0,15,11,2,5,2,11,160,10,34,46,75,20 ,ASM Clermont,2025-01-25 16:00:00
ASM Clermont,2,58 %,68 %,68 %,32 %,68 %,8,3,4,1,19,16,2,5,0,10,89,4,8,45,190, 14,Section Paloise,2025-01-25 16:00:00
USA Perpignan,1,43 %,46 %,25 %,54 %,47 %,7,1,6,0,12,8,1,11,3,10,129,4,22,19,91,16 ,Aviron Bayonnais,2025-01-25 16:00:00
Aviron Bayonnais,1,57 %,54 %,75 %,46 %,53 %,15,2,10,3,13,10,0,7,2,12,84,1,13,27,114, 11,USA Perpignan,2025-01-25 16:00:00
Union Bordeaux-Bègles,2,61 %,57 %,57 %,45 %,53 %,6,0,5,1,20,14,1,5,2,10,79,9,13,19,157,20 ,LOU Rugby,2025-01-25 21:15:00
LOU Rugby,1,39 %,43 %,43 %,55 %,47 %,7,0,6,1,15,10,2,3,5,9,165,14,21,28,94, 22,Union Bordeaux-Bègles,2025-01-25 21:15:00
RC Toulon,6,59 %,65 %,67 %,34 %,61 %,12,0,9,3,15,11,0,5,1,8,112,19,22,23,165,45 ,Stade Rochelais,2025-01-26 21:05:00
Stade Rochelais,2,41 %,35 %,33 %,66 %,39 %,2,0,2,0,7,5,3,5,4,14,174,11,20,21,129, 26,RC Toulon,2025-01-26 21:05:00
Aviron Bayonnais,3,45 %,46 %,43 %,55 %,46 %,7,0,6,1,11,10,0,6,5,13,145,10,26,23,103,36 ,Union Bordeaux-Bègles,2025-02-15 14:30:00
Union Bordeaux-Bègles,3,55 %,54 %,57 %,45 %,54 %,9,1,7,1,13,10,0,6,5,13,87,3,12,21,128, 32,Aviron Bayonnais,2025-02-15 14:30:00
LOU Rugby,8,45 %,46 %,54 %,54 %,48 %,5,1,4,0,14,10,1,6,1,16,140,12,15,24,110,53 ,Stade Rochelais,2025-02-15 16:30:00
Stade Rochelais,2,55 %,54 %,46 %,46 %,52 %,8,0,8,0,19,16,2,5,1,12,114,0,12,11,174, 17,LOU Rugby,2025-02-15 16:30:00
Racing 92,3,51 %,45 %,41 %,56 %,45 %,9,2,5,2,8,6,2,8,2,12,104,11,20,32,111,25 ,RC Vannes,2025-02-15 16:30:00
RC Vannes,3,49 %,55 %,59 %,44 %,55 %,8,2,5,1,20,15,0,5,3,8,123,9,30,30,100, 30,Racing 92,2025-02-15 16:30:00
Stade Français Paris,5,48 %,55 %,51 %,43 %,54 %,10,2,6,2,12,9,1,4,2,15,99,6,15,23,82,39 ,Section Paloise,2025-02-15 16:30:00
Section Paloise,4,52 %,45 %,49 %,57 %,46 %,6,2,3,1,14,12,2,8,3,14,98,5,18,23,64, 37,Stade Français Paris,2025-02-15 16:30:00
USA Perpignan,1,56 %,41 %,59 %,59 %,41 %,9,1,7,1,12,7,2,7,5,9,126,2,20,20,173,20 ,Castres Olympique,2025-02-15 16:30:00
Castres Olympique,2,44 %,59 %,41 %,41 %,59 %,9,4,4,1,9,6,3,7,2,12,157,8,26,19,122, 20,USA Perpignan,2025-02-15 16:30:00
Montpellier Hérault Rugby,3,45 %,45 %,43 %,55 %,47 %,3,1,1,1,14,12,1,4,3,13,101,7,25,25,95,30 ,RC Toulon,2025-02-15 21:05:00
RC Toulon,4,55 %,55 %,57 %,45 %,53 %,5,0,4,1,18,15,1,3,3,12,92,2,15,34,106, 38,Montpellier Hérault Rugby,2025-02-15 21:05:00
ASM Clermont,2,50 %,53 %,52 %,46 %,52 %,11,1,9,1,12,12,0,5,2,13,150,7,29,18,142,18 ,Stade Toulousain,2025-02-16 21:05:00
Stade Toulousain,4,50 %,47 %,48 %,54 %,48 %,6,0,5,1,15,14,0,10,3,11,147,12,23,18,176, 35,ASM Clermont,2025-02-16 21:05:00
Castres Olympique,2,46 %,46 %,65 %,54 %,46 %,8,1,6,1,10,8,1,5,6,13,105,8,16,22,81,30 ,LOU Rugby,2025-02-22 14:30:00
LOU Rugby,1,54 %,54 %,35 %,46 %,54 %,7,1,5,1,13,10,1,6,6,15,92,2,12,25,103, 25,Castres Olympique,2025-02-22 14:30:00
RC Toulon,3,54 %,53 %,53 %,47 %,52 %,8,1,6,1,19,15,1,7,1,10,86,6,24,29,133,24 ,Stade Français Paris,2025-02-22 16:30:00
Stade Français Paris,0,46 %,47 %,47 %,53 %,48 %,4,0,4,0,24,20,3,7,2,14,104,11,18,32,101, 6,RC Toulon,2025-02-22 16:30:00
RC Vannes,4,51 %,47 %,54 %,55 %,47 %,7,2,3,2,17,13,1,2,3,14,134,6,10,29,92,37 ,Montpellier Hérault Rugby,2025-02-22 16:30:00
Montpellier Hérault Rugby,3,49 %,53 %,46 %,45 %,53 %,8,0,5,3,11,8,0,6,1,16,128,8,28,25,107, 24,RC Vannes,2025-02-22 16:30:00
Section Paloise,2,60 %,56 %,74 %,44 %,55 %,4,0,3,1,19,19,3,10,3,11,96,7,5,31,135,23 ,USA Perpignan,2025-02-22 16:30:00
USA Perpignan,0,40 %,44 %,26 %,56 %,45 %,9,2,6,1,16,7,0,5,2,14,142,10,20,28,70, 6,Section Paloise,2025-02-22 16:30:00
Stade Rochelais,3,58 %,51 %,50 %,49 %,52 %,1,0,1,0,13,11,1,9,0,11,93,2,9,25,229,21 ,Racing 92,2025-02-22 16:30:00
Racing 92,2,42 %,49 %,50 %,51 %,48 %,13,2,9,2,13,11,1,0,4,8,186,3,24,42,102, 26,Stade Rochelais,2025-02-22 16:30:00
Stade Toulousain,7,59 %,50 %,70 %,52 %,49 %,10,2,6,2,14,10,2,4,0,10,113,7,24,24,148,41 ,Aviron Bayonnais,2025-02-22 21:05:00
Aviron Bayonnais,0,41 %,50 %,30 %,48 %,51 %,6,2,4,0,12,9,2,8,2,16,144,8,31,14,106, 6,Stade Toulousain,2025-02-22 21:05:00
Union Bordeaux-Bègles,3,47 %,47 %,59 %,53 %,48 %,10,1,8,1,14,13,2,5,1,10,133,9,20,18,114,22 ,ASM Clermont,2025-02-23 21:05:00
ASM Clermont,2,53 %,53 %,41 %,47 %,52 %,8,2,4,2,19,15,1,5,2,12,136,5,28,22,137, 18,Union Bordeaux-Bègles,2025-02-23 21:05:00
Stade Français Paris,1,48 %,40 %,39 %,60 %,39 %,5,0,4,1,14,14,4,4,5,17,147,8,16,40,140,22 ,Stade Rochelais,2025-03-01 14:30:00
Stade Rochelais,2,52 %,60 %,61 %,40 %,61 %,3,0,3,0,21,13,0,2,1,14,114,8,21,29,154, 17,Stade Français Paris,2025-03-01 14:30:00
LOU Rugby,4,40 %,50 %,57 %,48 %,52 %,7,0,7,0,12,7,3,9,1,11,191,13,30,26,116,27 ,RC Toulon,2025-03-01 16:30:00
RC Toulon,2,60 %,50 %,43 %,52 %,48 %,9,0,7,2,14,6,1,7,2,8,97,6,24,26,223, 20,LOU Rugby,2025-03-01 16:30:00
Montpellier Hérault Rugby,2,47 %,46 %,44 %,54 %,47 %,5,2,2,1,11,10,3,5,3,11,163,13,26,25,120,21 ,Castres Olympique,2025-03-01 16:30:00
Castres Olympique,2,53 %,54 %,56 %,46 %,53 %,8,2,4,2,18,12,1,3,1,11,137,11,25,26,140, 17,Montpellier Hérault Rugby,2025-03-01 16:30:00
Racing 92,4,38 %,46 %,36 %,54 %,45 %,0,0,0,0,10,8,1,13,1,11,215,12,35,31,95,29 ,Section Paloise,2025-03-01 16:30:00
Section Paloise,4,62 %,54 %,64 %,46 %,55 %,13,0,12,1,11,8,1,1,6,6,105,9,19,42,182, 47,Racing 92,2025-03-01 16:30:00
Stade Toulousain,9,55 %,50 %,50 %,51 %,49 %,4,0,4,0,16,15,1,5,0,7,124,5,15,26,187,63 ,RC Vannes,2025-03-01 16:30:00
RC Vannes,3,45 %,50 %,50 %,49 %,51 %,8,0,6,2,12,10,0,2,0,10,151,5,29,22,123, 21,Stade Toulousain,2025-03-01 16:30:00
USA Perpignan,3,67 %,55 %,53 %,46 %,52 %,5,1,4,0,21,20,0,10,0,7,61,4,18,15,238,17 ,Union Bordeaux-Bègles,2025-03-01 21:05:00
Union Bordeaux-Bègles,4,33 %,45 %,47 %,54 %,48 %,12,2,8,2,14,13,1,5,1,14,245,8,26,32,88, 29,USA Perpignan,2025-03-01 21:05:00
Aviron Bayonnais,3,43 %,51 %,44 %,48 %,52 %,4,0,3,1,15,9,1,4,3,12,129,8,12,27,121,31 ,ASM Clermont,2025-03-02 21:05:00
ASM Clermont,2,57 %,49 %,56 %,52 %,48 %,3,0,2,1,19,17,4,4,2,11,118,2,27,27,130, 18,Aviron Bayonnais,2025-03-02 21:05:00
Stade Rochelais,2,49 %,58 %,58 %,43 %,59 %,10,2,7,1,21,21,1,7,0,13,101,9,11,32,105,12 ,Castres Olympique,2025-03-22 14:30:00
Castres Olympique,0,51 %,42 %,42 %,57 %,41 %,3,0,3,1,18,15,0,7,4,13,81,2,15,34,99, 12,Stade Rochelais,2025-03-22 14:30:00
ASM Clermont,2,59 %,62 %,49 %,37 %,57 %,12,0,7,5,15,14,1,8,3,11,113,8,17,26,123,21 ,Racing 92,2025-03-22 16:30:00
Racing 92,2,41 %,38 %,51 %,63 %,43 %,10,1,7,2,11,8,0,7,3,13,169,16,11,29,82, 23,ASM Clermont,2025-03-22 16:30:00
LOU Rugby,5,60 %,48 %,36 %,51 %,49 %,7,1,5,1,11,8,1,8,1,8,93,6,20,26,178,36 ,RC Vannes,2025-03-22 16:30:00
RC Vannes,3,40 %,52 %,64 %,49 %,51 %,10,0,10,2,9,7,2,5,0,8,159,8,29,31,101, 21,LOU Rugby,2025-03-22 16:30:00
Section Paloise,4,53 %,44 %,56 %,57 %,45 %,11,4,6,1,6,5,2,1,3,16,114,10,21,29,115,40 ,Montpellier Hérault Rugby,2025-03-22 16:30:00
Montpellier Hérault Rugby,5,47 %,56 %,44 %,43 %,55 %,1,1,0,0,20,16,1,8,3,9,154,4,20,33,107, 38,Section Paloise,2025-03-22 16:30:00
Stade Français Paris,3,46 %,45 %,52 %,56 %,46 %,7,2,4,1,26,20,0,1,4,13,133,14,24,23,86,31 ,Aviron Bayonnais,2025-03-22 16:30:00
Aviron Bayonnais,4,54 %,55 %,48 %,44 %,54 %,1,1,0,0,16,16,5,5,1,19,106,13,12,22,159, 27,Stade Français Paris,2025-03-22 16:30:00
RC Toulon,4,47 %,48 %,41 %,53 %,48 %,12,0,9,3,15,14,0,5,4,11,122,10,12,35,95,40 ,USA Perpignan,2025-03-22 21:05:00
USA Perpignan,1,53 %,52 %,59 %,47 %,52 %,7,1,4,2,9,6,1,7,4,9,76,3,14,30,112, 19,RC Toulon,2025-03-22 21:05:00
Union Bordeaux-Bègles,4,43 %,51 %,52 %,48 %,52 %,10,3,6,1,13,10,2,5,2,11,164,6,15,32,163,32 ,Stade Toulousain,2025-03-23 21:05:00
Stade Toulousain,3,57 %,49 %,48 %,52 %,48 %,4,0,4,0,20,15,1,12,1,11,96,4,22,35,155, 24,Union Bordeaux-Bègles,2025-03-23 21:05:00
Stade Toulousain,8,55 %,59 %,54 %,40 %,55 %,8,0,7,1,13,10,2,8,1,12,124,7,19,13,194,55 ,Section Paloise,2025-03-29 14:30:00
Section Paloise,1,45 %,41 %,46 %,60 %,45 %,11,1,8,2,14,10,1,5,1,15,154,3,39,14,97, 10,Stade Toulousain,2025-03-29 14:30:00
Montpellier Hérault Rugby,5,60 %,52 %,53 %,49 %,50 %,4,0,4,0,17,13,2,6,1,8,69,1,13,33,128,38 ,Stade Français Paris,2025-03-29 16:30:00
Stade Français Paris,4,40 %,48 %,47 %,51 %,50 %,6,0,6,0,16,12,0,1,2,10,134,8,25,33,76, 32,Montpellier Hérault Rugby,2025-03-29 16:30:00
RC Vannes,2,42 %,54 %,50 %,44 %,55 %,5,1,4,0,14,13,0,4,2,13,215,6,24,28,127,20 ,USA Perpignan,2025-03-29 16:30:00
USA Perpignan,2,58 %,46 %,50 %,56 %,45 %,5,0,5,0,14,12,1,5,2,9,109,4,29,30,188, 20,RC Vannes,2025-03-29 16:30:00
ASM Clermont,4,49 %,42 %,41 %,58 %,42 %,6,0,5,1,14,13,4,4,3,11,118,11,21,33,93,33 ,Stade Rochelais,2025-03-29 16:30:00
Stade Rochelais,3,51 %,58 %,59 %,42 %,58 %,5,0,5,0,19,12,1,3,0,10,98,9,17,20,143, 19,ASM Clermont,2025-03-29 16:30:00
Aviron Bayonnais,4,50 %,52 %,45 %,48 %,52 %,6,1,5,0,14,10,5,1,2,9,150,3,28,31,155,28 ,LOU Rugby,2025-03-29 16:30:00
LOU Rugby,1,50 %,48 %,55 %,52 %,48 %,4,2,2,2,18,9,3,4,3,10,163,3,19,17,145, 14,Aviron Bayonnais,2025-03-29 16:30:00
Castres Olympique,3,58 %,49 %,45 %,53 %,48 %,8,0,7,1,12,10,0,6,3,13,108,11,33,29,144,28 ,RC Toulon,2025-03-29 21:05:00
RC Toulon,4,42 %,51 %,55 %,47 %,52 %,10,0,8,2,10,9,0,8,0,12,166,6,20,23,129, 26,Castres Olympique,2025-03-29 21:05:00
Racing 92,4,45 %,44 %,52 %,57 %,47 %,4,1,3,0,10,10,3,3,4,11,198,17,29,35,108,36 ,Union Bordeaux-Bègles,2025-03-30 21:05:00
Union Bordeaux-Bègles,5,55 %,56 %,48 %,43 %,53 %,3,1,2,0,17,9,0,4,0,10,162,10,32,23,225, 31,Racing 92,2025-03-30 21:05:00
Section Paloise,1,54 %,60 %,71 %,39 %,60 %,7,2,4,1,16,15,2,4,5,10,116,11,8,38,107,22 ,Union Bordeaux-Bègles,2025-04-19 14:30:00
Union Bordeaux-Bègles,2,46 %,40 %,29 %,61 %,40 %,4,0,3,1,11,9,1,6,4,9,143,8,14,38,96, 26,Section Paloise,2025-04-19 14:30:00
Castres Olympique,4,53 %,50 %,53 %,49 %,50 %,9,1,5,3,18,10,3,8,2,10,79,4,9,44,73,32 ,RC Vannes,2025-04-19 16:30:00
RC Vannes,1,47 %,50 %,47 %,51 %,50 %,10,2,7,1,16,11,4,5,2,8,76,3,27,46,52, 13,Castres Olympique,2025-04-19 16:30:00
LOU Rugby,4,48 %,44 %,39 %,58 %,46 %,10,1,8,1,10,8,0,3,2,10,175,4,25,22,143,32 ,Montpellier Hérault Rugby,2025-04-19 16:30:00
Montpellier Hérault Rugby,3,52 %,56 %,61 %,42 %,54 %,2,0,1,1,15,14,2,10,2,8,177,4,27,20,166, 23,LOU Rugby,2025-04-19 16:30:00
Stade Rochelais,2,60 %,56 %,74 %,45 %,53 %,6,0,4,2,13,9,2,2,5,8,104,7,16,33,114,29 ,Aviron Bayonnais,2025-04-19 16:30:00
Aviron Bayonnais,3,40 %,44 %,26 %,55 %,47 %,3,1,2,0,16,13,2,2,3,16,153,13,14,29,87, 28,Stade Rochelais,2025-04-19 16:30:00
USA Perpignan,1,47 %,45 %,30 %,55 %,46 %,9,0,8,1,15,5,1,6,7,11,158,5,31,30,115,28 ,Racing 92,2025-04-19 16:30:00
Racing 92,3,53 %,55 %,70 %,45 %,54 %,2,0,2,0,15,13,5,11,1,15,101,11,18,25,110, 24,USA Perpignan,2025-04-19 16:30:00
RC Toulon,4,48 %,59 %,47 %,39 %,58 %,7,2,5,0,18,15,0,7,1,8,141,5,13,21,149,31 ,ASM Clermont,2025-04-19 21:05:00
ASM Clermont,4,52 %,41 %,53 %,61 %,42 %,11,2,6,3,14,11,0,6,0,13,131,5,23,16,115, 24,RC Toulon,2025-04-19 21:05:00
Stade Français Paris,3,54 %,59 %,71 %,41 %,58 %,11,1,6,4,20,16,2,8,0,11,92,6,19,28,118,21 ,Stade Toulousain,2025-04-20 21:15:00
Stade Toulousain,3,46 %,41 %,29 %,59 %,42 %,8,0,7,1,16,10,2,5,2,9,125,1,12,31,92, 27,Stade Français Paris,2025-04-20 21:15:00
Stade Toulousain,7,68 %,62 %,90 %,39 %,61 %,5,1,4,0,15,12,3,7,1,6,84,8,10,28,229,52 ,Castres Olympique,2025-04-26 14:30:00
Castres Olympique,0,32 %,38 %,10 %,61 %,39 %,9,2,6,1,12,9,2,5,2,15,211,7,53,19,85, 6,Stade Toulousain,2025-04-26 14:30:00
ASM Clermont,5,51 %,42 %,53 %,61 %,43 %,4,0,3,1,18,14,2,10,2,7,133,10,19,21,101,39 ,LOU Rugby,2025-04-26 16:30:00
LOU Rugby,4,49 %,58 %,47 %,39 %,57 %,9,4,4,1,10,7,2,4,1,15,111,12,29,20,108, 31,ASM Clermont,2025-04-26 16:30:00
Aviron Bayonnais,3,51 %,52 %,63 %,48 %,51 %,14,2,10,2,11,8,3,6,2,14,94,8,11,22,114,27 ,Section Paloise,2025-04-26 16:30:00
Section Paloise,1,49 %,48 %,37 %,52 %,49 %,9,1,6,2,12,8,1,7,5,9,115,7,15,22,75, 22,Aviron Bayonnais,2025-04-26 16:30:00
Montpellier Hérault Rugby,1,58 %,54 %,58 %,46 %,54 %,7,2,3,2,14,13,2,7,3,10,95,4,13,24,144,19 ,USA Perpignan,2025-04-26 16:30:00
USA Perpignan,1,42 %,46 %,42 %,54 %,46 %,8,3,4,1,14,6,1,4,2,10,128,8,21,19,99, 13,Montpellier Hérault Rugby,2025-04-26 16:30:00
RC Vannes,4,53 %,52 %,63 %,50 %,50 %,6,0,5,1,13,11,1,6,1,16,120,6,18,28,127,29 ,RC Toulon,2025-04-26 16:30:00
RC Toulon,1,47 %,48 %,37 %,50 %,50 %,11,0,10,1,14,13,1,6,4,10,200,11,7,19,121, 19,RC Vannes,2025-04-26 16:30:00
Union Bordeaux-Bègles,1,45 %,55 %,49 %,43 %,55 %,9,1,7,1,17,14,1,9,1,14,132,6,16,26,119,10 ,Stade Rochelais,2025-04-26 21:05:00
Stade Rochelais,3,55 %,45 %,51 %,57 %,45 %,9,2,7,0,17,15,1,7,2,15,105,6,13,35,98, 21,Union Bordeaux-Bègles,2025-04-26 21:05:00
Racing 92,7,56 %,56 %,43 %,43 %,54 %,5,0,4,1,17,17,0,8,2,10,117,18,13,26,138,49 ,Stade Français Paris,2025-04-27 21:05:00
Stade Français Paris,3,44 %,44 %,57 %,57 %,46 %,8,0,8,0,11,11,0,5,1,11,131,5,32,21,104, 24,Racing 92,2025-04-27 21:05:00
LOU Rugby,4,54 %,47 %,34 %,58 %,47 %,1,0,1,0,11,8,1,2,1,17,155,13,8,24,149,27 ,Section Paloise,2025-05-10 16:30:00
Section Paloise,4,46 %,53 %,66 %,42 %,53 %,9,0,8,1,17,12,1,2,1,8,200,12,23,26,105, 29,LOU Rugby,2025-05-10 16:30:00
Racing 92,2,60 %,58 %,60 %,43 %,55 %,8,0,7,1,19,17,2,8,4,7,74,7,10,24,136,24 ,Aviron Bayonnais,2025-05-10 16:30:00
Aviron Bayonnais,3,40 %,42 %,40 %,57 %,45 %,9,0,7,2,13,10,0,6,0,14,153,9,28,24,86, 24,Racing 92,2025-05-10 16:30:00
RC Vannes,2,52 %,54 %,69 %,45 %,53 %,7,1,5,1,13,11,0,5,5,8,135,0,14,29,125,29 ,Stade Rochelais,2025-05-10 16:30:00
Stade Rochelais,4,48 %,46 %,31 %,55 %,47 %,5,1,4,0,10,6,1,6,1,11,165,8,23,30,122, 30,RC Vannes,2025-05-10 16:30:00
USA Perpignan,2,49 %,46 %,49 %,54 %,46 %,9,1,5,3,14,10,1,5,2,10,90,8,10,28,96,20 ,Stade Français Paris,2025-05-10 16:30:00
Stade Français Paris,2,51 %,54 %,51 %,46 %,54 %,9,1,6,2,14,11,1,6,2,13,86,3,17,33,70, 18,USA Perpignan,2025-05-10 16:30:00
RC Toulon,1,35 %,41 %,33 %,58 %,44 %,9,1,6,2,12,7,1,3,3,14,240,8,32,21,84,16 ,Stade Toulousain,2025-05-10 21:05:00
Stade Toulousain,8,65 %,59 %,67 %,42 %,56 %,4,0,4,0,14,13,5,3,0,11,106,7,13,18,257, 50,RC Toulon,2025-05-10 21:05:00
Montpellier Hérault Rugby,6,46 %,43 %,44 %,57 %,45 %,4,0,3,1,14,9,1,6,2,10,158,11,21,25,103,46 ,Union Bordeaux-Bègles,2025-05-11 21:05:00
Union Bordeaux-Bègles,3,54 %,57 %,56 %,43 %,55 %,7,3,2,2,9,8,0,3,2,12,90,5,13,22,156, 27,Montpellier Hérault Rugby,2025-05-11 21:05:00
Castres Olympique,4,39 %,46 %,39 %,54 %,48 %,13,1,11,1,12,10,0,7,2,12,145,9,26,17,94,34 ,ASM Clermont,2025-05-24 21:00:00
ASM Clermont,4,61 %,54 %,61 %,46 %,52 %,5,0,5,0,17,14,1,12,1,10,61,4,23,15,165, 29,Castres Olympique,2025-05-24 21:00:00
Union Bordeaux-Bègles,5,50 %,57 %,57 %,42 %,56 %,8,1,6,1,17,14,1,7,1,8,97,11,21,30,134,34 ,Castres Olympique,2025-05-17 14:30:00
Castres Olympique,4,50 %,43 %,43 %,58 %,44 %,7,3,4,0,17,10,0,5,1,10,95,6,25,27,124, 29,Union Bordeaux-Bègles,2025-05-17 14:30:00
ASM Clermont,4,55 %,54 %,44 %,47 %,54 %,5,1,3,1,14,10,2,7,1,17,94,13,19,18,142,31 ,USA Perpignan,2025-05-17 16:30:00
USA Perpignan,1,45 %,46 %,56 %,53 %,46 %,11,1,8,2,15,11,2,7,2,12,111,6,38,18,116, 13,ASM Clermont,2025-05-17 16:30:00
Aviron Bayonnais,6,50 %,49 %,39 %,51 %,49 %,10,4,3,3,11,10,2,10,0,14,119,16,16,30,127,38 ,RC Vannes,2025-05-17 16:30:00
RC Vannes,4,50 %,51 %,61 %,49 %,51 %,8,0,6,2,20,18,0,9,2,6,109,7,26,33,118, 32,Aviron Bayonnais,2025-05-17 16:30:00
Section Paloise,3,49 %,47 %,39 %,52 %,47 %,10,1,8,1,13,12,2,6,2,10,113,7,32,30,104,25 ,RC Toulon,2025-05-17 16:30:00
RC Toulon,3,51 %,53 %,61 %,48 %,53 %,7,0,7,0,15,13,0,9,0,8,124,6,18,25,156, 21,Section Paloise,2025-05-17 16:30:00
