equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
LOU Rugby,3,0.5,0.47,0.53,0.53,0.48,5,1,4,0,11,8,0,4,3,11,143,4,11,30,125,28 ,ASM Clermont,2021-09-05 17:45:00,2021-2022,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,24.0,0.0,0.9,56.0,BRINDAS
ASM Clermont,1,0.5,0.53,0.47,0.47,0.52,9,2,5,2,14,12,2,3,4,8,87,5,19,15,127, 19,LOU Rugby,2021-09-05 17:45:00,2021-2022,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,24.0,0.0,0.9,56.0,BRINDAS
Stade Rochelais,1,0.5,0.61,0.67,0.4,0.65,12,0,8,4,10,8,1,0,3,9,66,2,27,23,125,16 ,Stade Toulousain,2021-09-05 21:05:00,2021-2022,Stade Rochelais,Local,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,18.8,0.0,1.3,81.0,NUAILLE SUR BOUTONNE
Stade Toulousain,1,0.5,0.39,0.33,0.6,0.35,2,0,2,0,11,10,1,4,5,14,105,0,9,26,81, 20,Stade Rochelais,2021-09-05 21:05:00,2021-2022,Stade Rochelais,Visitante,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,18.8,0.0,1.3,81.0,NUAILLE SUR BOUTONNE
Biarritz Olympique PB,2,0.5,0.52,0.6,0.48,0.51,3,0,2,1,19,15,0,3,2,9,105,0,14,21,92, 20,USA Perpignan,2021-09-11 15:00:00,2021-2022,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,22.6,0.0,1.8,66.0,SERRALONGUE
LOU Rugby,1,0.5,0.57,0.33,0.43,0.56,3,1,2,0,15,12,1,6,4,13,72,1,12,20,136, 17,Section Paloise,2021-09-11 15:00:00,2021-2022,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,23.3,0.0,1.8,63.0,GER
Section Paloise,0,0.5,0.43,0.67,0.57,0.44,11,1,7,3,10,8,1,1,6,10,127,4,14,33,85,21 ,LOU Rugby,2021-09-11 15:00:00,2021-2022,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,23.3,0.0,1.8,63.0,GER
USA Perpignan,3,0.5,0.48,0.4,0.52,0.49,6,0,6,0,11,10,1,0,3,18,108,3,18,29,96,33 ,Biarritz Olympique PB,2021-09-11 15:00:00,2021-2022,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,22.6,0.0,1.8,66.0,SERRALONGUE
Montpellier Hérault Rugby,5,0.5,0.44,0.45,0.56,0.44,8,1,6,1,11,8,0,6,2,10,139,7,13,25,121,39 ,CA Brive,2021-09-11 15:00:00,2021-2022,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,28.6,0.0,4.2,41.0,PEZENAS-TOURBES
CA Brive,3,0.5,0.56,0.55,0.44,0.56,12,0,11,1,15,14,3,2,0,9,98,0,20,19,142, 17,Montpellier Hérault Rugby,2021-09-11 15:00:00,2021-2022,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,28.6,0.0,4.2,41.0,PEZENAS-TOURBES
Castres Olympique,3,0.5,0.55,0.61,0.44,0.54,9,2,5,2,12,11,0,2,4,13,115,9,19,16,85, 34,ASM Clermont,2021-09-11 15:00:00,2021-2022,ASM Clermont,Visitante,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,16.7,0.0,2.2,71.0,SUPERBESSE
ASM Clermont,3,0.5,0.45,0.39,0.56,0.46,3,0,3,0,18,18,0,4,3,15,107,8,13,21,114,30 ,Castres Olympique,2021-09-11 15:00:00,2021-2022,ASM Clermont,Local,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,16.7,0.0,2.2,71.0,SUPERBESSE
